Year,Jurisdiction,Abbreviation,Group,Total,Always,Usually,Sometimes,Rarely,Never,Did not report,Percent1,Percent2,Percent3,PercentInternet
2020,National,US,All,"66,561,640","46,713,712","11,020,451","4,887,743","1,987,773","1,096,152","855,810",70.18113135,86.73789137,94.08107432,97.06743854
2020,Alaska,AK,All,"153,746","115,469","19,593","10,796","5,211","1,707",971,75.10374254,87.84748872,94.86946002,98.25881649
2020,Alabama,AL,All,"1,007,827","689,508","211,764","51,600","24,409","13,029","17,517",68.41531334,89.42725289,94.54717923,96.96912268
2020,Arkansas,AR,All,"685,683","382,208","114,296","54,160","74,305","43,028","17,686",55.74120986,72.41013705,80.30883076,91.14547101
2020,Arizona,AZ,All,"1,636,868","1,062,682","282,626","191,989","20,203","72,463","6,905",64.92166748,82.18793452,93.91698048,95.15122783
2020,California,CA,All,"8,708,226","6,343,654","1,389,013","557,517","170,855","70,126","177,063",72.84668542,88.79727053,95.19945853,97.16145401
2020,Colorado,CO,All,"1,043,504","811,741","114,464","32,252","49,640","15,195","20,212",77.78992702,88.75912311,91.84986354,96.60691286
2020,Connecticut,CT,All,"728,958","549,546","134,735","38,952","1,957",-,"3,767",75.38788243,93.87111466,99.21463239,99.48309779
2020,District of Columbia,DC,All,"100,675","63,617","22,768","8,141","1,001","4,469",678,63.19046437,85.80581078,93.89222746,94.88651602
2020,Delaware,DE,All,"215,587","153,292","41,692","9,684","8,225","2,078",616,71.1044729,90.44330131,94.93522337,98.75038847
2020,Florida,FL,All,"4,185,221","2,898,625","745,263","272,803","195,022","42,262","31,246",69.25858873,87.06560538,93.58385137,98.24362919
2020,Georgia,GA,All,"2,142,014","1,425,104","452,437","159,087","40,307","51,906","13,174",66.53103108,87.65306856,95.08005083,96.96178456
2020,Hawaii,HI,All,"367,841","262,666","61,336","26,860","4,310","9,757","2,913",71.40748312,88.08207894,95.38414695,96.55584886
2020,Iowa,IA,All,"582,093","402,316","115,365","30,026","20,183","14,204",-,69.11541627,88.93441426,94.09269653,97.56001189
2020,Idaho,ID,All,"378,160","257,954","69,865","27,941","17,572","4,828",-,68.21292575,86.68790988,94.07658134,98.72329173
2020,Illinois,IL,All,"2,441,393","1,710,239","472,468","84,585","79,019","75,798","19,284",70.05176962,89.40416393,92.86878434,96.10542014
2020,Indiana,IN,All,"1,422,897","1,045,420","217,227","83,423","42,109","21,345","13,373",73.47123509,88.73776528,94.60066329,97.56004827
2020,Kansas,KS,All,"582,109","404,922","121,247","23,206","18,986","10,757","2,991",69.56119902,90.39011594,94.37665454,97.63824301
2020,Kentucky,KY,All,"905,789","568,414","141,301","41,173","82,595","65,895","6,411",62.75346687,78.35323679,82.89877665,92.0173462
2020,Louisiana,LA,All,"980,445","578,199","158,766","90,503","70,817","38,242","43,919",58.97311935,75.16637853,84.39718699,91.62013167
2020,Massachusetts,MA,All,"1,302,392","933,376","279,007","64,714","14,011","2,561","8,722",71.66628788,93.08894711,98.05780441,99.13359419
2020,Maryland,MD,All,"1,190,966","868,595","153,073","85,943","42,296","19,233","21,826",72.93197287,85.7848167,93.00105964,96.55246245
2020,Maine,ME,All,"231,871","172,127","44,485","8,034","3,033",-,"4,192",74.23394905,93.41918567,96.88404328,98.19209819
2020,Michigan,MI,All,"1,909,024","1,196,310","327,641","244,149","74,132","58,393","8,400",62.66605344,79.82880257,92.61800795,96.50124881
2020,Minnesota,MN,All,"1,154,208","897,268","180,023","63,124","8,194","5,600",-,77.73884776,93.33594985,98.80498142,99.51490546
2020,Missouri,MO,All,"1,124,333","797,756","175,642","96,524","35,585","18,826",-,70.95371211,86.57559638,95.16059744,98.32558504
2020,Mississippi,MS,All,"681,885","427,209","90,277","63,585","74,508","22,007","4,299",62.65118018,75.8905094,85.21539556,96.14216473
2020,Montana,MT,All,"173,949","114,664","34,051","13,863","4,099","5,044","2,229",65.91817142,85.49344923,93.46302652,95.81946433
2020,North Carolina,NC,All,"2,168,188","1,578,959","287,859","173,556","12,170","22,257","93,386",72.82389719,86.10037506,94.10503148,94.66632967
2020,North Dakota,ND,All,"108,867","85,514","13,968","6,638",318,"2,159",269,78.54905527,91.37938953,97.47673767,97.76883721
2020,Nebraska,NE,All,"365,259","272,850","55,696","14,895","18,295","2,004","1,519",74.70041806,89.94877607,94.02670434,99.03547893
2020,New Hampshire,NH,All,"225,765","177,263","38,135","6,890","1,950",-,"1,527",78.51659912,95.40805705,98.459903,99.32363298
2020,New Jersey,NJ,All,"2,026,763","1,494,028","334,349","136,618","36,518","21,762","3,488",73.71498296,90.21168237,96.9523817,98.75417106
2020,New Mexico,NM,All,"429,183","289,497","70,823","47,220","11,091","9,257","1,294",67.45304451,83.95486308,94.9571628,97.54137512
2020,Nevada,NV,All,"818,734","530,790","136,257","95,279","39,360","3,854","13,194",64.8305799,81.47298146,93.11033864,97.91776084
2020,New York,NY,All,"3,842,827","2,772,282","528,440","270,725","149,811","18,898","102,671",72.14173316,85.89306779,92.93801152,96.83646961
2020,Ohio,OH,All,"2,173,858","1,518,467","422,113","73,328","54,807","54,036","51,106",69.85125063,89.26894029,92.6421137,95.16329953
2020,Oklahoma,OK,All,"828,250","524,721","129,202","96,815","10,935","56,462","10,115",63.35297314,78.95236945,90.64147299,91.96172653
2020,Oregon,OR,All,"732,865","523,556","157,862","29,330","15,095","7,022",-,71.43962394,92.98001678,96.98211813,99.04184263
2020,Pennsylvania,PA,All,"2,124,446","1,445,365","372,767","206,790","38,625","16,791","44,107",68.03491357,85.58146453,95.31529632,97.13341737
2020,Rhode Island,RI,All,"218,345","185,183","25,268","6,317",654,461,461,84.81210928,96.38462067,99.27774852,99.5772745
2020,South Carolina,SC,All,"931,435","630,389","164,175","85,335","42,628","8,908",-,67.6793335,85.30536216,94.46703205,99.04362623
2020,South Dakota,SD,All,"186,656","148,377","28,206","3,628","5,167",-,"1,277",79.49222098,94.60344163,96.54712412,99.31531802
2020,Tennessee,TN,All,"1,443,053","1,061,728","220,197","81,581","53,733","25,813",-,73.57512163,88.83422854,94.48758985,98.21115371
2020,Texas,TX,All,"6,511,576","4,471,061","984,018","755,347","176,081","56,843","68,225",68.66326984,83.77509531,95.37515956,98.07928219
2020,Utah,UT,All,"733,320","554,324","116,177","32,036","17,393","12,457",934,75.59101075,91.43361697,95.80224186,98.17405771
2020,Virginia,VA,All,"1,572,541","1,099,304","270,875","123,375","52,532","10,491","15,965",69.90622184,87.13152789,94.97711029,98.31769092
2020,Vermont,VT,All,"112,986","84,514","20,023","4,679","1,305",822,"1,644",74.80041775,92.52208238,96.66330342,97.81831377
2020,Washington,WA,All,"1,388,350","1,000,293","245,620","68,033","41,829","22,984","9,590",72.04905103,89.74055534,94.64083264,97.65368963
2020,Wisconsin,WI,All,"1,141,753","822,611","155,265","101,952","14,834","47,091",-,72.04806994,85.64689561,94.57632255,95.87555277
2020,West Virginia,WV,All,"303,324","196,066","56,390","29,345","8,393","6,487","6,643",64.63913175,83.22981366,92.90428716,95.67129538
2020,Wyoming,WY,All,"135,632","113,689","16,340","3,396","1,669",538,-,83.8216645,95.86896897,98.37280288,99.60333845
2020,National,US,Food_Sufficient,"44,334,805","34,610,263","6,077,312","1,983,283","760,616","504,595","398,735",78.06567098,91.7734385,96.24686068,97.96247891
2020,National,US,Food_InsufficientTypes,"14,904,241","8,820,168","3,450,596","1,674,803","561,298","175,020","222,357",59.17891424,82.33068695,93.56777712,97.33380586
2020,National,US,Food_InsufficientSometimes,"5,783,530","2,523,258","1,300,966","1,079,196","532,394","207,983","139,732",43.62833771,66.12266211,84.78247714,93.98782405
2020,National,US,Food_InsufficientOften,"1,492,744","724,053","188,189","150,461","126,503","208,554","94,986",48.50483405,61.11175124,71.19124244,79.66576988
2020,National,US,Food_Insufficient_NotReport,"46,320","35,970","3,388",-,"6,961",-,-,77.65544041,84.96977547,84.96977547,99.99784111
2021,National,US,Low-Income,"4,883,715","3,473,264","878,750","242,626","57,512","173,070","58,494",71.1193016,89.11277583,94.08083805,95.25846615
2021,National,US,High-Income,"32,961,770","27,634,252","3,752,846","888,824","203,385","167,603","314,859",83.8372818,95.22273227,97.91926222,98.53629523
2020,National,US,LOC_City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,National,US,LOC_Suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,National,US,LOC_Town,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,National,US,LOC_Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,National,US,LOC_City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,National,US,LOC_Suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,National,US,LOC_Town,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,National,US,LOC_Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,National,US,All,"44,166,300","35,822,037","5,568,950","1,488,578","342,790","368,158","575,788",81.10717221,93.71622029,97.08661355,97.86274829
2021,Alaska,AK,All,"97,292","74,202","14,079","5,614","1,155","1,255",987,76.267319,90.73819019,96.50844879,97.69559676
2021,Alabama,AL,All,"675,387","532,903","89,671","31,308","8,263","9,401","3,841",78.90335467,92.18033513,96.81589962,98.03934633
2021,Arkansas,AR,All,"421,394","333,799","69,960","10,029",-,"4,700","2,907",79.21304053,95.81508042,98.19503837,98.19503837
