Year,Jurisdiction,Grade,Total Score,Wealth-Neutrality Score,McLoone Index,Coefficient of Variation,Restricted Range,PPE (adjusted),Percent of students in districts with PPE at or above US average,Spending Index,Percent of total taxable resources spent on education
2018,Alabama,C-,70.1,0.182,93.2,0.108,"2,613",11083,2,79.3,3.6
2018,Alaska,B-,82.1,-0.137,89.4,0.436,"20,757",18643,94.9,98.5,4.7
2018,Arizona,D,64.8,0.104,94.5,0.214,"3,150",8971,3,65.1,3
2018,Arkansas,C,72.8,0.119,92.7,0.124,"3,663",12296,1.7,80.3,4.5
2018,California,C+,76.5,0.052,89.4,0.16,"4,396",11269,50.5,94.7,3.1
2018,Colorado,D+,68.5,0.197,93.9,0.14,"2,906",10592,5.2,82.9,3
2018,Connecticut,B+,87.6,0.12,88.8,0.152,"9,004",18905,99.2,99.6,4.1
2018,Delaware,B-,80.8,0.344,88.8,0.133,"5,776",15692,87.1,99.6,3
2018,District of Columbia,NA,NA,NA,NA,NA,NA,17662,100,100,NA
2018,Florida,D+,68.5,0.151,94.5,0.072,"1,951",10722,0.4,73.8,2.9
2018,Georgia,C,73,0.171,93.4,0.113,"3,414",11240,17.9,89.2,3.6
2018,Hawaii,NA,NA,NA,NA,NA,NA,15329,100,100,3.5
2018,Idaho,D,63.6,0.265,90.1,0.22,"4,160",9602,3.9,63.4,3.5
2018,Illinois,B,82.8,0.196,88.4,0.19,"10,488",15594,87.8,98.7,4.3
2018,Indiana,C-,71.3,0.062,91.3,0.125,"3,272",11798,3.9,79.3,3.6
2018,Iowa,C,74.6,0.154,91.9,0.109,"3,316",13802,15,89.2,3.7
2018,Kansas,C,74.1,0.029,86.9,0.181,"5,349",13215,19.4,87.1,3.9
2018,Kentucky,C+,76.6,0.12,91.9,0.103,"2,577",12717,23.9,88.6,4.1
2018,Louisiana,C-,70,0.447,91.2,0.157,"4,358",13177,18.3,89.2,3.6
2018,Maine,B,85.1,0.183,89.3,0.163,"6,698",17857,79.3,97.8,4.5
2018,Maryland,B+,88.5,0.088,96.5,0.089,"3,081",14051,100,100,3.9
2018,Massachusetts,B,85.1,0.154,91.2,0.156,"6,350",16984,98.7,99.9,3.2
2018,Michigan,C,73.5,0.186,93.2,0.131,"3,510",13092,11.5,87.6,4
2018,Minnesota,C+,78.9,0.063,93.3,0.114,"3,758",13456,38.9,95.5,3.7
2018,Mississippi,D+,69.4,0.122,90.4,0.139,"3,800",10738,0.6,69.8,4.2
2018,Missouri,C-,72.2,0.199,92.5,0.133,"3,679",12560,13.3,85.1,3.7
2018,Montana,C-,72.2,0.17,91.4,0.26,"4,757",14493,21.4,85.4,3.8
2018,Nebraska,C,72.9,0.203,90.8,0.241,"7,351",14960,28.1,91.2,3.7
2018,Nevada,D-,62.4,0.142,NA,0.142,"3,194",9434,3,73.2,3.1
2018,New Hampshire,B,83.2,0.206,84.3,0.197,"9,247",17752,91.7,99.3,3.8
