Year,Jurisdiction,YesComputerScore,YesComputerPercentage,NoComputerScore,NoComputerPercentage,YesInternetScore,YesInternetPercentage,NoInternetScore,NoInternetPercentage
2019,Alaska,,,,,,,,
2019,Colorado,,,,,,,,
2019,Montana,,,,,,,,
2019,New Hampshire,,,,,,,,
2019,South Dakota,,,,,,,,
2019,Utah,,,,,,,,
2019,Connecticut,291.1109482,87.44930742,255.7832266,12.55069258,287.0504861,98.81996254,,1.180037463
2019,Massachusetts,299.2579808,88.03463357,264.9766663,11.96536643,295.6543593,98.79441081,,1.205589192
2019,New Jersey,295.9726885,89.67527097,259.256573,10.32472903,292.7071049,98.61292198,,1.38707802
2019,Rhode Island,281.1403816,84.98897149,248.0498649,15.01102851,276.9030272,97.8440651,,2.155934899
2019,Minnesota,294.4949108,84.68657003,272.9533734,15.31342997,291.7771276,97.69631514,,2.303684856
2019,New York,284.3450081,85.95737236,260.0021632,14.04262764,281.5659633,97.69078392,249.943133,2.309216076
2019,Pennsylvania,290.0061562,86.07097638,255.5557444,13.92902362,286.0263961,97.67134585,253.1567742,2.328654151
2019,Maryland,285.0382211,84.04938482,256.5293016,15.95061518,281.0792424,97.64407468,248.9578444,2.35592532
2019,Nebraska,288.7509418,83.49561054,268.5893923,16.50438946,285.9048849,97.46894332,263.275687,2.531056685
2019,North Dakota,288.6273789,84.34701397,269.489554,15.65298603,286.4752669,97.3140003,,2.685999696
2019,Delaware,280.7832802,81.07452427,260.6995184,18.92547573,277.7198786,97.22013738,247.9940993,2.779862622
2019,Virginia,290.0941933,87.20261779,268.1613098,12.79738221,288.1489759,97.19626354,257.7117719,2.803736455
2019,Vermont,290.0226553,84.52023785,268.8211528,15.47976215,287.6361338,97.1344962,254.8985366,2.865503798
2019,Illinois,286.3743598,84.66398512,262.9485966,15.33601488,283.5922314,97.1190408,254.1754391,2.880959199
2019,Wisconsin,292.848078,85.20554897,266.4655317,14.79445103,289.595224,97.05859405,266.0107749,2.941405951
2019,Florida,282.4433774,85.14540882,257.6426859,14.85459118,279.6009184,97.04712373,252.8220727,2.952876268
2019,District of Columbia,274.2223678,79.85710897,251.8491526,20.14289103,270.1316659,97.02596077,,2.974039227
2019,Ohio,290.0755191,85.27117981,261.7041504,14.72882019,286.6591216,97.01765435,258.5533558,2.982345647
2019,California,281.2069518,81.34702205,252.6038207,18.65297795,276.80699,97.01134195,243.8220114,2.988658049
2019,Michigan,283.801867,84.28897959,261.6165383,15.71102041,281.2223647,96.95586672,252.7519347,3.044133284
2019,Washington,289.6014415,84.62579889,267.9005963,15.37420111,287.26483,96.92565217,252.0290127,3.074347827
2019,Georgia,283.1127676,83.73152831,262.9868943,16.26847169,280.2984663,96.74752096,269.0369876,3.252479037
2019,Maine,285.2081668,81.6994959,270.6710642,18.3005041,283.4704347,96.72527292,253.3598888,3.274727075
2019,National,286.2063449,82.89899609,262.3762162,17.10100391,282.9782762,96.7175142,256.6044624,3.282485802
2019,Wyoming,290.2978167,78.66671072,272.3219172,21.33328928,287.3482884,96.35580839,263.0674805,3.64419161
2019,Louisiana,276.3941956,76.20777065,257.3659651,23.79222935,272.6833912,96.33647982,251.6257091,3.663520184
2019,Oregon,283.923072,80.12874829,262.409191,19.87125171,280.2428715,96.32941737,260.0316259,3.67058263
2019,West Virginia,275.2871665,81.49190485,260.0486599,18.50809515,273.0316138,96.3039871,257.421316,3.696012901
2019,North Carolina,287.9162625,82.56273596,265.4480819,17.43726404,284.9025321,96.20573557,259.1273576,3.794264431
2019,Nevada,278.1378939,79.78782077,258.445789,20.21217923,274.8019038,96.2018143,252.4232081,3.798185699
