STATE,OFFICE,OFFICE URL,OFFICE 2,OFFICE 2 URL,AGENCY 1,AGENCY 1 URL,AGENCY 2,AGENCY 2 URL,AGENCY 3,AGENCY 3 URL,AGENCY 4,AGENCY 4 URL,AGENCY 5,AGENCY 5 URL,TASK FORCE,TASK FORCE URL,TASK FORCE 2,TASK FORCE 2 URL,TASK FORCE 3,TASK FORCE 3 URL,PLAN,PLAN URL,GOAL,GOAL 2,MAP,MAP URL,MAP 2,MAP 2 URL,FUND,FUND URL,FUND 2,FUND 2 URL,FUND 3,FUND 3 URL,FUND 4,FUND 4 URL,FUND 5,FUND 5 URL,FUND 6,FUND 6 URL 
Alabama,,,,,Department of Economic and Community Affairs (Broadband Alabama),https://adeca.alabama.gov/Divisions/energy/broadband/Pages/default.aspx,,,,,,,,,Alabama Rural Broadband Legislative Oversight Committee,https://adeca.alabama.gov/wp-content/uploads/Alabama-Broadband-Accessibility-Act.pdf,Advanced Small Wireless Facilities Deployment Task Force,https://arc-sos.state.al.us/ucp/B19156AA.BH4.pdf,,,Broadband Alabama Strategy,https://adeca.alabama.gov/Divisions/energy/broadband/Broadband%20Docs/Broadband%20Alabama%20Strategy.pdf,,,ADECA Broadband Maps ,https://adecagis.alabama.gov/broadband2019/,,,Alabama Broadband Accessibility Fund,https://adeca.alabama.gov/wp-content/uploads/Alabama-Broadband-Accessibility-Act.pdf,,,,,,,,,,
Alaska,,,,,Regulatory Commission of Alaska,http://rca.alaska.gov/RCAWeb/Programs/Telecommunications.aspx,,,,,,,,,,,,,,,2019 Updated Broadband Plan,https://www.denali.gov/updated-broadband-plan-document/,https://www.denali.gov/updated-broadband-plan-document/,,,,,,Broadband Internet Grant,http://rca.alaska.gov/RCAWeb/Programs/BroadbandInternetGrant.aspx,,,,,,,,,,
Arizona,,,,,Arizona Department of Administration (Strategic Enterprise Technology Office),https://aset.az.gov/digital-highways,Arizona Department of Education (Arizona Broadband Initiative),https://www.azed.gov/erate/arizona-broadband-initiative/,Arizona Commerce Authority,https://www.azcommerce.com/Broadband,Arizona Department of Transportation,https://azdot.gov/,Arizona Public Safety Broadband Network,https://azfirstnet.az.gov/,,,,,,,Arizona Statewide Broadband Strategic Plan,https://azfirstnet.az.gov/sites/default/files/media/AZ%20Broadband%20Strategic%20Plan_FINAL.pdf,https://azlibrary.gov/sites/default/files/erate_2018_az_broadbandstrategicplan_final.PDF,,,,,,Broadband Expansion Program,https://www.azed.gov/erate/arizona-broadband-initiative/,Arizona Rural Broadband Development Grants ,https://www.azcommerce.com/broadband/grant-opportunities/,,,,,,,,
Arkansas,Arkansas State Broadband Office,https://broadband.arkansas.gov/,,,Arkansas Division of Information Systems ,https://www.transform.ar.gov/information-systems/,,,,,,,,,,,,,,,Arkansas State Broadband Plan,https://governor.arkansas.gov/images/uploads/Arkansas_State_Broadband_Plan_Final_5.15_.19_.pdf,https://governor.arkansas.gov/images/uploads/Arkansas_State_Broadband_Plan_Final_5.15_.19_.pdf,,Arkansas Coverage Areas,https://broadband.arkansas.gov/ar-rural-connect/targeted-areas/,,,Arkansas Rural Connect Program,https://broadband.arkansas.gov/ar-rural-connect/,Rural ID Broadband Fund,https://idhi.uams.edu/rural-broadband-grant/,,,,,,,,
California,Office of Broadband and Digital Literacy,https://cdt.ca.gov/broadband-and-digital-literacy-office/,,,Department of Technology,https://cdt.ca.gov/,Public Utilities Commission,http://www.cpuc.ca.gov/Communications/,Department of Transportation,https://dot.ca.gov/programs/design/wired-broadband,California State Library,http://www.library.ca.gov/services/to-libraries/broadband/,,,California Broadband Council,https://broadbandcouncil.ca.gov/,,,,,Broadband for All Action Plan,https://broadbandcouncil.ca.gov/wp-content/uploads/sites/68/2020/12/BB4All-Action-Plan-Final.pdf ,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB1665,https://www.gov.ca.gov/wp-content/uploads/2020/08/8.14.20-EO-N-73-20-text.pdf,California Interactive Broadband Map,http://www.broadbandmap.ca.gov/,,,California Advanced Services Fund,http://www.cpuc.ca.gov/casf/,Teleconnect Fund,https://www.cpuc.ca.gov/ctf/,,,,,,,,
Colorado,Colorado Broadband Office,http://broadband.co.gov/,,,Governor's Office of Information Technology,http://broadband.co.gov/,Department of Local Affairs,https://www.colorado.gov/pacific/dola/broadband-program,Department of Regulatory Agencies (Broadband Deployment Board),https://broadbandfund.colorado.gov/broadband-deployment-board ,Colorado Public Utilities Commission ,https://puc.colorado.gov/,,,Broadband Deployment Board,https://broadbandfund.colorado.gov/broadband-deployment-board,Broadband Advisory Board,https://broadband.co.gov/broadband-advisory-board/ ,,,,,https://drive.google.com/file/d/1U6n1Ei2mn8ZuP31A9PRRi4FZ40WaiJ0F/view,,Colorado Broadband Map ,https://gis.colorado.gov/broadbandviewer/index.html?Viewer=broadbandmapping.broadbandmapping_hv/,Broadband Board Data Toolkit ,https://gis.colorado.gov/broadbandboard/,Broadband Deployment Fund,https://www.colorado.gov/pacific/dora-broadband-fund,Colorado High Cost Support Mechanism,https://puc.colorado.gov/hcsm,Colorado Department of Local Affairs Broadband Program ,https://cdola.colorado.gov/funding-programs/broadband-program ,,,,,,
Connecticut,Connecticut State Broadband Office,https://portal.ct.gov/OCC/Services/Broadband,,,Office of Consumer Counsel,https://portal.ct.gov/OCC/Services/Broadband,,,,,,,,,Connecticut Commission for Educational Technology,https://portal.ct.gov/DAS/CTEdTech/Commission-for-Educational-Technology/Educational-Technology-Goals-and-Plan,,,,,,,,,,,,,Everybody Learns Initiative ,https://portal.ct.gov/SDE/COVID19/Everybody-Learns-Initiative,,,,,,,,,,
Delaware,,,,,Department of Technology and Information,https://dti.delaware.gov/digital-innovation/,,,,,,,,,Delaware Broadband Initiative,https://broadband.delaware.gov,,,,,,,,,,,,,Delaware Broadband Fund,https://dti.delaware.gov/digital-innovation/delaware-broadband-grant-opportunity/,,,,,,,,,,
Florida,Florida Broadband Office,https://floridajobs.org/community-planning-and-development/broadband/office-of-broadband,,,Florida Department of Management Services,https://www.dms.myflorida.com/,Florida Department of Economic Opportunity ,https://floridajobs.org/community-planning-and-development/broadband/office-of-broadband,Florida Department of Transportation,https://www.fdot.gov/traffic/itsfm/newusersagencies/about-itsfm,,,,,,,,,,,,,,,,,,,Florida State Transportation Trust Fund ,http://laws.flrules.org/2020/26,Broadband Opportunity Program ,https://flsenate.gov/Session/Bill/2021/1239/BillText/er/PDF,,,,,,,,
Georgia,Georgia Broadband Deployment Initiative,https://broadband.georgia.gov,,,Department of Community Affairs (Georgia Broadband Deployment Initiative),https://www.dca.ga.gov/blog-tags/broadband,Georgia Technology Authority,https://gta.georgia.gov/,Department of Transportation,http://www.dot.ga.gov/,Board of Economic Development,https://georgia.gov/organization/georgia-department-economic-development,,,,,,,,,The State of Georgia Broadband Plan,https://broadband.georgia.gov/media/7/download,https://broadband.georgia.gov/media/7/download,,Georgia Broadband Map ,https://broadband.georgia.gov/broadband-mapping,,,,,,,,,,,,,,
