,STATE,variable,value
200,Alabama,AGENCY 1,Department of Economic and Community Affairs (Broadband Alabama)
201,Alaska,AGENCY 1,Regulatory Commission of Alaska
202,Arizona,AGENCY 1,Arizona Department of Administration (Strategic Enterprise Technology Office)
203,Arkansas,AGENCY 1,Arkansas Division of Information Systems 
204,California,AGENCY 1,Department of Technology
205,Colorado,AGENCY 1,Governor's Office of Information Technology
206,Connecticut,AGENCY 1,Office of Consumer Counsel
207,Delaware,AGENCY 1,Department of Technology and Information
208,Florida,AGENCY 1,Florida Department of Management Services
209,Georgia,AGENCY 1,Department of Community Affairs (Georgia Broadband Deployment Initiative)
210,Hawaii,AGENCY 1,"Department of Commerce and Consumer Affairs, Cable Television Division"
211,Idaho,AGENCY 1,State Department of Education (Broadband Program)
212,Illinois,AGENCY 1,Department of Commerce and Economic Opportunity
213,Indiana ,AGENCY 1,Office of Lieutenant Governor
214,Iowa,AGENCY 1,Office of the Chief Information Officer
215,Kansas,AGENCY 1,Department of Commerce
217,Louisiana,AGENCY 1,Office of the Governor
218,Maine,AGENCY 1,Department of Economic and Community Development
219,Maryland,AGENCY 1,Rural Maryland Council
220,Massachusetts,AGENCY 1,Massachusetts Technology Collaborative
221,Michigan,AGENCY 1,Michigan Public Service Commission (in partnership with Connected Nation)
222,Minnesota,AGENCY 1,Minnesota Employment and Economic Development
224,Missouri,AGENCY 1,Department of Economic Development
225,Montana,AGENCY 1,Department of Commerce
226,Nebraska,AGENCY 1,Nebraska Information Technology Commission
227,Nevada,AGENCY 1,"Governor's Office of Science, Innovation, and Technology"
250,Alabama,AGENCY 1 URL,https://adeca.alabama.gov/Divisions/energy/broadband/Pages/default.aspx
251,Alaska,AGENCY 1 URL,http://rca.alaska.gov/RCAWeb/Programs/Telecommunications.aspx
252,Arizona,AGENCY 1 URL,https://aset.az.gov/digital-highways
253,Arkansas,AGENCY 1 URL,https://www.transform.ar.gov/information-systems/
254,California,AGENCY 1 URL,https://cdt.ca.gov/
255,Colorado,AGENCY 1 URL,http://broadband.co.gov/
256,Connecticut,AGENCY 1 URL,https://portal.ct.gov/OCC/Services/Broadband
257,Delaware,AGENCY 1 URL,https://dti.delaware.gov/digital-innovation/
258,Florida,AGENCY 1 URL,https://www.dms.myflorida.com/
259,Georgia,AGENCY 1 URL,https://www.dca.ga.gov/blog-tags/broadband
260,Hawaii,AGENCY 1 URL,http://cca.hawaii.gov/broadband
261,Idaho,AGENCY 1 URL,http://www.sde.idaho.gov/tech-services/broadband/
262,Illinois,AGENCY 1 URL,https://www2.illinois.gov/dceo/connectIllinois/Pages/default.aspx
263,Indiana ,AGENCY 1 URL,https://www.in.gov/lg/
264,Iowa,AGENCY 1 URL,https://ocio.iowa.gov/broadband 
265,Kansas,AGENCY 1 URL,http://kansascommerce.gov/
267,Louisiana,AGENCY 1 URL,https://gov.louisiana.gov/page/Broadband-for-Louisiana
268,Maine,AGENCY 1 URL,https://www.maine.gov/decd/
269,Maryland,AGENCY 1 URL,https://rural.maryland.gov/ 
270,Massachusetts,AGENCY 1 URL,http://masstech.org/
271,Michigan,AGENCY 1 URL,"https://www.michigan.gov/mpsc/0,9535,7-395-93308_93325_93425_94029_94033---,00.html"
272,Minnesota,AGENCY 1 URL,https://mn.gov/deed/
274,Missouri,AGENCY 1 URL,https://ded.mo.gov/
275,Montana,AGENCY 1 URL,https://commerce.mt.gov/
276,Nebraska,AGENCY 1 URL,https://nitc.nebraska.gov
277,Nevada,AGENCY 1 URL,http://osit.nv.gov/Broadband/Broadband/
229,New Jersey,AGENCY 1,New Jersey Office of Information Technology 
230,New Mexico,AGENCY 1,New Mexico Department of Information Technology 
