State_index,Jurisdiction,Time,Type,Name,Formatted_Text,Amount (million dollars),Description,Link,Source,Start
-99,Alabama,Dup,AGENCY 1,Department of Economic and Community Affairs (Broadband Alabama),Dup AGENCY 1: Department of Economic and Community Affairs (Broadband Alabama),,,https://adeca.alabama.gov/Divisions/energy/broadband/Pages/default.aspx,PEW_May2021,0
-99,Alabama,Dup,FUND 1,Alabama Broadband Accessibility Fund,Dup FUND 1: Alabama Broadband Accessibility Fund,,,https://adeca.alabama.gov/wp-content/uploads/Alabama-Broadband-Accessibility-Act.pdf,PEW_May2021,0
-99,Alabama,Dup,MAP 1,ADECA Broadband Maps ,Dup MAP 1: ADECA Broadband Maps ,,,https://adecagis.alabama.gov/broadband2019/,PEW_May2021,0
-99,Alabama,Dup,TASK FORCE 1,Alabama Rural Broadband Legislative Oversight Committee,Dup TASK FORCE 1: Alabama Rural Broadband Legislative Oversight Committee,,,https://adeca.alabama.gov/wp-content/uploads/Alabama-Broadband-Accessibility-Act.pdf,PEW_May2021,0
1,Alabama,Pre-pandemic,Agency,Department of Economic and Community Affairs (Broadband Alabama),Pre-pandemic Agency: Department of Economic and Community Affairs (Broadband Alabama),,,http://adeca.alabama.gov/Divisions/,PEW_July2019,0
2,Alabama,Pre-pandemic,Task Force,Alabama Rural Broadband Oversight Committee,Pre-pandemic Task Force: Alabama Rural Broadband Oversight Committee,,,-,PEW_July2019,0
3,Alabama,Pre-pandemic,Map,ADECA Broadband Eligibility Map,Pre-pandemic Map: ADECA Broadband Eligibility Map,,,https://adecagis.alabama.gov/Broadband2018/,PEW_July2019,0
4,Alabama,Pre-pandemic,Fund,Alabama Broadband Accessibility Fund,Pre-pandemic Fund: Alabama Broadband Accessibility Fund,,,http://adeca.alabama.gov/Divisions/energy/broadband/Pages/default.aspx,PEW_July2019,0
5,Alabama,Pandemic,Fund,Alabama Broadband Connectivity (ABC) for Students,Pandemic Fund: Alabama Broadband Connectivity (ABC) for Students,100,Governor Kay Ivey has allocated $100 million in CARES Act funding for a public-private partnership to increase access to internet for K-12 students attending school in the fall who may need internet service for distance learning.,https://governor.alabama.gov/newsroom/2020/07/governor-ivey-allocates-100-million-for-alabama-broadband-connectivity-for-students/,,0
6,Alabama,Pandemic,Fund,"Allocated up to $300 million for expenditures related to remote learning, $53 million for remote work, and established a broadband working group to guide CARES Act funding toward relevant broadband projects.","Pandemic Fund: Allocated up to $300 million for expenditures related to remote learning, $53 million for remote work, and established a broadband working group to guide CARES Act funding toward relevant broadband projects.",353,"Allocated up to $300 million for expenditures related to remote learning, $53 million for remote work, and established a broadband working group to guide CARES Act funding toward relevant broadband projects.",https://www.nga.org/center/publications/expand-affordable-broadband/,National Governor's Association,0
7,Alabama,Pandemic,PLAN 1,Broadband Alabama Strategy,Pandemic PLAN 1: Broadband Alabama Strategy,,,https://adeca.alabama.gov/Divisions/energy/broadband/Broadband%20Docs/Broadband%20Alabama%20Strategy.pdf,PEW_May2021,0
8,Alabama,Pandemic,TASK FORCE 2,Advanced Small Wireless Facilities Deployment Task Force,Pandemic TASK FORCE 2: Advanced Small Wireless Facilities Deployment Task Force,,,https://arc-sos.state.al.us/ucp/B19156AA.BH4.pdf,PEW_May2021,0
1,Alaska,Pre-pandemic,Agency,Regulatory Commission of Alaska,Pre-pandemic Agency: Regulatory Commission of Alaska,,,http://rca.alaska.gov/RCAWeb/Programs/Telecommunications.aspx,PEW_July2019,0
2,Alaska,Pre-pandemic,Agency,Alaska State Library (Alaska Online With Libraries Program),Pre-pandemic Agency: Alaska State Library (Alaska Online With Libraries Program),,,https://library.alaska.gov/dev/OWL/,PEW_July2019,0
,Alaska,Pandemic,AGENCY 1,Regulatory Commission of Alaska,Pandemic AGENCY 1: Regulatory Commission of Alaska,,,http://rca.alaska.gov/RCAWeb/Programs/Telecommunications.aspx,PEW_May2021,0
,Alaska,Pandemic,FUND 1,Broadband Internet Grant,Pandemic FUND 1: Broadband Internet Grant,,,http://rca.alaska.gov/RCAWeb/Programs/BroadbandInternetGrant.aspx,PEW_May2021,0
,Alaska,Pandemic,GOAL 1,https://www.denali.gov/updated-broadband-plan-document/,Pandemic GOAL 1: https://www.denali.gov/updated-broadband-plan-document/,,,https://www.denali.gov/updated-broadband-plan-document/,PEW_May2021,0
,Alaska,Pandemic,PLAN 1,2019 Updated Broadband Plan,Pandemic PLAN 1: 2019 Updated Broadband Plan,,,https://www.denali.gov/updated-broadband-plan-document/,PEW_May2021,0
3,Arizona,Pre-pandemic,Agency,Arizona Department of Administration (Strategic Enterprise Technology Office),Pre-pandemic Agency: Arizona Department of Administration (Strategic Enterprise Technology Office),,,,PEW_July2019,0
4,Arizona,Pre-pandemic,Agency,Arizona Department of Education (Arizona Broadband Initiative),Pre-pandemic Agency: Arizona Department of Education (Arizona Broadband Initiative),,,,PEW_July2019,0
5,Arizona,Pre-pandemic,Plan,“Arizona Statewide Broadband Strategic Plan” (2018),Pre-pandemic Plan: “Arizona Statewide Broadband Strategic Plan” (2018),,,,PEW_July2019,0
6,Arizona,Pre-pandemic,Fund,Broadband Expansion Program,Pre-pandemic Fund: Broadband Expansion Program,,,,PEW_July2019,0
,Arizona,Pandemic,AGENCY 1,Arizona Department of Administration (Strategic Enterprise Technology Office),Pandemic AGENCY 1: Arizona Department of Administration (Strategic Enterprise Technology Office),,,https://aset.az.gov/digital-highways,PEW_May2021,0
,Arizona,Pandemic,AGENCY 2,Arizona Department of Education (Arizona Broadband Initiative),Pandemic AGENCY 2: Arizona Department of Education (Arizona Broadband Initiative),,,https://www.azed.gov/erate/arizona-broadband-initiative/,PEW_May2021,0
,Arizona,Pandemic,AGENCY 3,Arizona Commerce Authority,Pandemic AGENCY 3: Arizona Commerce Authority,,,https://www.azcommerce.com/Broadband,PEW_May2021,0
,Arizona,Pandemic,AGENCY 4,Arizona Department of Transportation,Pandemic AGENCY 4: Arizona Department of Transportation,,,https://azdot.gov/,PEW_May2021,0
,Arizona,Pandemic,AGENCY 5,Arizona Public Safety Broadband Network,Pandemic AGENCY 5: Arizona Public Safety Broadband Network,,,https://azfirstnet.az.gov/,PEW_May2021,0
,Arizona,Pandemic,FUND 1,Broadband Expansion Program,Pandemic FUND 1: Broadband Expansion Program,,,https://www.azed.gov/erate/arizona-broadband-initiative/,PEW_May2021,0
,Arizona,Pandemic,FUND 2,Arizona Rural Broadband Development GrantsÂ ,Pandemic FUND 2: Arizona Rural Broadband Development GrantsÂ ,,,https://www.azcommerce.com/broadband/grant-opportunities/,PEW_May2021,0
,Arizona,Pandemic,GOAL 1,https://azlibrary.gov/sites/default/files/erate_2018_az_broadbandstrategicplan_final.PDF,Pandemic GOAL 1: https://azlibrary.gov/sites/default/files/erate_2018_az_broadbandstrategicplan_final.PDF,,,https://azlibrary.gov/sites/default/files/erate_2018_az_broadbandstrategicplan_final.PDF,PEW_May2021,0
,Arizona,Pandemic,PLAN 1,Arizona Statewide Broadband Strategic Plan,Pandemic PLAN 1: Arizona Statewide Broadband Strategic Plan,,,https://azfirstnet.az.gov/sites/default/files/media/AZ%20Broadband%20Strategic%20Plan_FINAL.pdf,PEW_May2021,0
1,Arkansas,Pre-pandemic,Agency,Arkansas Department of Information Systems,Pre-pandemic Agency: Arkansas Department of Information Systems,,,,PEW_July2019,0
2,Arkansas,Pre-pandemic,Task Force,Arkansas Broadband Advisory Council (inactive),Pre-pandemic Task Force: Arkansas Broadband Advisory Council (inactive),,,,PEW_July2019,0
3,Arkansas,Pandemic,Fund,Allocated $10 million to seven telecommunications companies to expand broadband access in rural communities.,Pandemic Fund: Allocated $10 million to seven telecommunications companies to expand broadband access in rural communities.,10,Allocated $10 million to seven telecommunications companies to expand broadband access in rural communities.,https://www.nga.org/center/publications/expand-affordable-broadband/,National Governor's Association,0
,Arkansas,Pandemic,AGENCY 1,Arkansas Division of Information Systems ,Pandemic AGENCY 1: Arkansas Division of Information Systems ,,,https://www.transform.ar.gov/information-systems/,PEW_May2021,0
,Arkansas,Pandemic,FUND 1,Arkansas Rural Connect Program,Pandemic FUND 1: Arkansas Rural Connect Program,,,https://broadband.arkansas.gov/ar-rural-connect/,PEW_May2021,0
,Arkansas,Pandemic,FUND 2,Rural ID Broadband Fund,Pandemic FUND 2: Rural ID Broadband Fund,,,https://idhi.uams.edu/rural-broadband-grant/,PEW_May2021,0
,Arkansas,Pandemic,GOAL 1,https://governor.arkansas.gov/images/uploads/Arkansas_State_Broadband_Plan_Final_5.15_.19_.pdf,Pandemic GOAL 1: https://governor.arkansas.gov/images/uploads/Arkansas_State_Broadband_Plan_Final_5.15_.19_.pdf,,,https://governor.arkansas.gov/images/uploads/Arkansas_State_Broadband_Plan_Final_5.15_.19_.pdf,PEW_May2021,0
,Arkansas,Pandemic,MAP 1,Arkansas Coverage Areas,Pandemic MAP 1: Arkansas Coverage Areas,,,https://broadband.arkansas.gov/ar-rural-connect/targeted-areas/,PEW_May2021,0
,Arkansas,Pandemic,OFFICE 1,Arkansas State Broadband Office,Pandemic OFFICE 1: Arkansas State Broadband Office,,,https://broadband.arkansas.gov/,PEW_May2021,0
